name,plz
Vöhringen,89269
Erbach,89155
Meerane,08393
Weißenhorn,89264
Aßlar,35614
Frankenberg/Sa.,09669
Philippsburg,76661
Angermünde,16278
Melsungen,34212
Grünberg,35305
Schneeberg,08289
Eppstein,65817
Solms,35606
Buchloe,86807
Bergen auf Rügen,18528
Höchstadt a.d.Aisch,91315
Hettstedt,06333
Schmölln,04626
Quakenbrück,49610
Krumbach (Schwaben),86381
Ettenheim,77955
Haßfurt,97437
Löningen,49624
Oebisfelde-Weferlingen,39646
Bad Soden-Salmünster,63628
Pfullendorf,88630
Asperg,71679
Eichstätt,85072
Holzgerlingen,71088
Spaichingen,78549
Genthin,39307
Bad Dürrheim,78073
Wiesmoor,26639
Bergen,29303
Biedenkopf,35216
Bad Laasphe,57334
Neustadt a.d.Aisch,91413
Linden,35440
Pegnitz,91257
Dinklage,49413
Sendenhorst,48324
Bad Salzdetfurth,31162
Neckargemünd,69151
Tauberbischofsheim,97941
Zehdenick,16792
Wolfhagen,34466
Velen,46342
Haselünne,49740
Südliches Anhalt,06369
Wehr,79664
Beverungen,37688
Pfarrkirchen,84347
Herbrechtingen,89542
Rödental,96472
Olfen,59399
Östringen,76684
Sulingen,27232
Plattling,94447
St. Georgen im Schwarzwald,78112
Altötting,84503
Fehmarn,23769
Schleiden,53937
Treuchtlingen,91757
Weilburg,35781
Schüttorf,48465
Beelitz,14547
Rosbach v. d. Höhe,61191
Hadamar,65589
Linnich,52441
Wasserburg a.Inn,83512
Wächtersbach,63607
Möckern,39291
Besigheim,74354
Hungen,35410
Weinsberg,74189
Bad Doberan,18209
Herzberg am Harz,37412
Waltershausen,99880
Feuchtwangen,91555
Roding,93426
Steinheim,32839
Bad Urach,72574
Sulz am Neckar,72172
Hersbruck,91217
Zella-Mehlis,98544
Twistringen,27239
Blaubeuren,89143
Borken (Hessen),34582
Röthenbach a.d.Pegnitz,90552
Winterberg,59955
Velten,16727
Schongau,86956
Jüterbog,14913
Brunsbüttel,25541
Preußisch Oldendorf,32361
Bad Windsheim,91438
Hessisch Lichtenau,37235
Vilsbiburg,84137
Neuenburg am Rhein,79395
Frohburg,04654
Gladenbach,35075
Gaildorf,74405
Bad Freienwalde (Oder),16259
Ebersberg,85560
Bad Fallingbostel,29683
Bad Wünnenberg,33181
Titisee-Neustadt,79822
Anklam,17389
